scenario,statistic,parameter,value,n,mcse
spatial_corr,bias,rho,-0.0103134214881,100,0.0140878193387
spatial_corr,empirical_sd,rho,0.140878193387,100,
spatial_corr,rmse,rho,0.140550935184,100,0.00982789633784
spatial_corr,q10,rho,-0.726321673756,100,
spatial_corr,q90,rho,-0.315380880495,100,
spatial_corr,true_value,kappa_q,2,100,
spatial_corr,mean,kappa_q,1.58390772276,100,
spatial_corr,median,kappa_q,1.50585840492,100,
spatial_corr,bias,kappa_q,-0.416092277238,100,0.0151229561345
spatial_corr,empirical_sd,kappa_q,0.151229561345,100,
spatial_corr,rmse,kappa_q,0.442464077185,100,0.00898595563433
spatial_corr,q10,kappa_q,1.50003686425,100,
spatial_corr,q90,kappa_q,1.81340550379,100,
persistent_factor,true_value,eta,5,100,
persistent_factor,mean,eta,5.49525613191,100,
persistent_factor,median,eta,5.3234686782,100,
persistent_factor,bias,eta,0.495256131912,100,0.177277606719
persistent_factor,empirical_sd,eta,1.77277606719,100,
persistent_factor,rmse,eta,1.83209887036,100,0.0953139653232
persistent_factor,q10,eta,3.40288919125,100,
persistent_factor,q90,eta,7.99991516299,100,
persistent_factor,true_value,kappa,7,100,
persistent_factor,mean,kappa,6.70891190523,100,
persistent_factor,median,kappa,6.58057225052,100,
persistent_factor,bias,kappa,-0.291088094769,100,0.111449026388
persistent_factor,empirical_sd,kappa,1.11449026388,100,
persistent_factor,rmse,kappa,1.14647282642,100,0.0658226574379
persistent_factor,q10,kappa,5.34802875207,100,
persistent_factor,q90,kappa,8.3861721307,100,
persistent_factor,true_value,vbar,0.0225,100,
persistent_factor,mean,vbar,0.0200314544952,100,
persistent_factor,median,vbar,0.0197376666401,100,
persistent_factor,bias,vbar,-0.00246854550477,100,0.000192644696901
persistent_factor,empirical_sd,vbar,0.00192644696901,100,
persistent_factor,rmse,vbar,0.00312534843726,100,0.000150483863713
persistent_factor,q10,vbar,0.0179225932889,100,
persistent_factor,q90,vbar,0.0226102782675,100,
persistent_factor,true_value,sigma_v,0.4,100,
persistent_factor,mean,sigma_v,0.385617002496,100,
persistent_factor,median,sigma_v,0.417215901859,100,
persistent_factor,bias,sigma_v,-0.0143829975036,100,0.0102556478832
persistent_factor,empirical_sd,sigma_v,0.102556478832,100,
persistent_factor,rmse,sigma_v,0.103051073037,100,0.00513445276655
persistent_factor,q10,sigma_v,0.239305628986,100,
persistent_factor,q90,sigma_v,0.497199042971,100,
persistent_factor,true_value,rho,-0.5,100,
persistent_factor,mean,rho,-0.526943669806,100,
persistent_factor,median,rho,-0.526733202674,100,
persistent_factor,bias,rho,-0.0269436698056,100,0.0137089391887
persistent_factor,empirical_sd,rho,0.137089391887,100,
persistent_factor,rmse,rho,0.139037864256,100,0.00878660213686
persistent_factor,q10,rho,-0.733273507322,100,
persistent_factor,q90,rho,-0.336001563271,100,
persistent_factor,true_value,kappa_q,2,100,
persistent_factor,mean,kappa_q,1.57612566404,100,
persistent_factor,median,kappa_q,1.52292748779,100,
persistent_factor,bias,kappa_q,-0.423874335957,100,0.012879403159
persistent_factor,empirical_sd,kappa_q,0.12879403159,100,
persistent_factor,rmse,kappa_q,0.442822172244,100,0.00777455525153
persistent_factor,q10,kappa_q,1.50002206082,100,
persistent_factor,q90,kappa_q,1.68173305257,100,
