sample_id,scenario,eta,kappa,vbar,sigma_v,rho,kappa_q
0,clean,7.99991516299,6.66109671636,0.0218270011586,0.328675806585,-0.655922181408,1.50004445525
0,low_iid,7.99991516299,5.9355580224,0.0209185426247,0.420845561902,-0.592321251616,1.50294154714
0,spatial_corr,7.99991516299,5.92718729625,0.0208495008832,0.433776607205,-0.563979820973,1.50083836601
0,persistent_factor,7.99991516299,6.0282719526,0.0204528144784,0.424242136915,-0.597550918467,1.5008312627
1,clean,4.11999493235,8.99933689323,0.01925983525,0.396192177577,-0.549604274056,1.59772189413
1,low_iid,4.2799192571,7.54042651727,0.018029030175,0.390219349722,-0.200122956196,1.62632975885
1,spatial_corr,4.57209838218,8.99933689323,0.0169111682978,0.524108541901,-0.340810836679,1.89243443936
1,persistent_factor,4.27585990701,7.35019849584,0.0178775273016,0.400933283496,-0.288064944247,1.50001950309
2,clean,7.4035857851,8.99933689323,0.0181626197932,0.4156697196,-0.249504461284,1.53218559633
2,low_iid,7.9196831084,7.74781997176,0.0192877901813,0.519201054602,-0.646398284218,1.50509739455
2,spatial_corr,7.13888503622,8.97790167619,0.0191883686185,0.560069759003,-0.790327070042,1.73247322725
2,persistent_factor,7.29290271332,7.74111500747,0.0193536703389,0.538098279885,-0.629082497014,1.54932361502
3,clean,7.44261528902,6.47700806392,0.0210066324506,0.200002292127,-0.702637617249,1.81236325148
3,low_iid,7.99994983762,6.51650405861,0.0192983435074,0.371100339333,-0.793708942816,1.51536041642
3,spatial_corr,7.99991516299,5.80006053215,0.01897717055,0.25866944743,-0.458709274833,1.55964089908
3,persistent_factor,7.99991516299,8.99994661246,0.0144136567369,0.438075878054,-0.392667043771,1.56648578272
4,clean,6.54126029973,4.76485757877,0.0234370721959,0.291326199144,-0.360272646492,1.50010319476
4,low_iid,6.63074022096,4.48040902596,0.0225807500943,0.251447214213,-0.729556575168,1.50000423253
4,spatial_corr,6.5448786558,4.56832222484,0.0229160704002,0.261623964708,-0.79044066054,1.50020315695
4,persistent_factor,6.57667431999,4.49004319232,0.0226032632917,0.269118027508,-0.76129564111,1.50015463655
5,clean,2.50890674768,5.9761124527,0.0252680937554,0.38002158098,-0.559278471405,1.50000270299
5,low_iid,2.58936231589,6.44827759067,0.0224088291206,0.477165783585,-0.585434409054,1.5000392761
5,spatial_corr,2.59001461645,6.43558808187,0.0234120179073,0.467007116317,-0.744808797934,1.50000866924
5,persistent_factor,2.70798594733,6.58428179981,0.0220155661239,0.487333146121,-0.526235907737,1.50000340063
6,clean,4.62585106244,8.11690103769,0.019999873443,0.200008400707,-0.741468553292,1.84891710521
6,low_iid,5.31302263367,7.06430238935,0.0184452209078,0.435766121812,-0.551582181436,1.6090003689
6,spatial_corr,5.11882105865,6.94966687416,0.0187404889489,0.414605386582,-0.568422738321,1.59219163312
6,persistent_factor,5.38568691776,7.05266815143,0.0185744461193,0.407090360395,-0.5667924954,1.64044117523
7,clean,2.28053628695,6.75965028701,0.0224026573596,0.374259437987,-0.505277562866,1.50000216992
7,low_iid,2.51693741766,6.29634637911,0.0205150538104,0.434233150533,-0.453044876543,1.50000722038
7,spatial_corr,2.42927069067,6.08004104355,0.0208101380261,0.415599658185,-0.388805231984,1.50510628729
7,persistent_factor,2.3499495422,6.25004087272,0.0204403271124,0.463232592453,-0.312494591994,1.50277926428
8,clean,7.07774135789,6.88509958997,0.0220664200574,0.367166145367,-0.397671415313,1.67284305504
8,low_iid,7.9359369393,7.68054415482,0.0192080209622,0.489552263564,-0.218566195288,1.99616602904
8,spatial_corr,7.95831463702,7.29609532288,0.0193714375764,0.482651516862,-0.231978086401,1.84598721798
8,persistent_factor,7.99991516338,7.62262295862,0.0191058481238,0.472303072985,-0.291890872689,1.78253587072
9,clean,4.55023551149,6.0312121065,0.024445581278,0.362669968298,-0.511541184597,1.63059333261
9,low_iid,4.9482678139,6.80517775293,0.0205284606875,0.48161171419,-0.450647124434,1.50000368693
9,spatial_corr,4.90400503251,6.8499115465,0.0210729038128,0.477735848406,-0.554786562485,1.50001130583
9,persistent_factor,5.04680554802,7.01269073401,0.0203372809487,0.494385197381,-0.391194985407,1.65265324403
10,clean,3.1821810982,8.17234813692,0.0194660908052,0.405964221271,-0.444602068699,1.83159871449
10,low_iid,3.48834193553,6.56777876558,0.0188511144141,0.278838096062,-0.483967200918,1.5000083736
10,spatial_corr,3.33443533347,6.20083709357,0.0194482758605,0.31133611422,-0.472464192411,1.50004484085
10,persistent_factor,3.4522127931,6.27519805455,0.0189871223334,0.360620497919,-0.303577602147,1.5001182531
11,clean,4.02058382274,8.99999938536,0.0192218976291,0.375678007228,-0.408384052589,1.55489543459
11,low_iid,4.5645914146,8.99994566458,0.0174390592753,0.508579815579,-0.416033896696,1.50017173517
11,spatial_corr,4.23772849243,7.05087597039,0.0193654696391,0.383896425805,-0.214823503072,1.50013602953
11,persistent_factor,4.61926382121,8.99991275005,0.0178692591852,0.607313373451,-0.411701689986,1.73218926888
12,clean,7.41616253888,8.99997577931,0.0212161749382,0.390914541108,-0.647400804515,1.836932007
12,low_iid,7.99991516317,7.95345375156,0.0198380296671,0.457802071617,-0.487195847294,1.50018739365
12,spatial_corr,7.99999413276,8.1630339187,0.019514380291,0.462875523966,-0.492012515935,1.50006380271
12,persistent_factor,7.99991516299,8.21237680137,0.0199197644336,0.474493326569,-0.556711504147,1.57076853633
13,clean,3.08464416191,4.98899185299,0.0279236690499,0.34867814481,-0.494847514169,1.50001829509
13,low_iid,3.61896992339,6.17231531905,0.0239425624345,0.459355264335,-0.583992959878,1.50006714501
13,spatial_corr,3.5913772686,6.02966584922,0.0240030689426,0.453684209637,-0.555988003728,1.500004454
13,persistent_factor,3.53982313438,6.04668407418,0.0243550741697,0.436435387915,-0.63996401007,1.50057566868
14,clean,5.20196830753,7.31769042231,0.0196009251255,0.269142846904,-0.639541059444,1.50001924326
14,low_iid,5.29252728655,5.9890593259,0.0197107853142,0.230774974506,-0.793005257441,1.60148906487
14,spatial_corr,5.23617925067,6.05495567691,0.0197079452712,0.246680420039,-0.782777424405,1.58157351099
