point_id,maturity,variance,log_moneyness,fourier_price,high_resolution_cos_price,absolute_price_difference,fourier_runtime_seconds,integration_limit,absolute_tolerance,relative_tolerance,high_resolution_width,high_resolution_n_cos
lhs_00,0.08333333333333333,1e-06,-0.15,0.0018964313201195182,0.001896431336730231,1.6610712805231742e-11,0.003127208910882473,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,1e-06,0.0,1.4506757185589765,1.4506757185606836,1.7070789226636407e-12,0.0014665420167148113,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,1e-06,0.15,3.1690509876581164e-08,3.1672525661149727e-08,1.798421543143697e-11,0.0025294581428170204,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,0.01,-0.15,0.009074747106794234,0.00907474712317935,1.638511548662791e-11,0.0034807496704161167,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,0.01,0.0,1.8000958841059775,1.8000958841085741,2.596589609993316e-12,0.002848250325769186,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,0.01,0.15,6.2789394624419965e-06,6.278921842345931e-06,1.7620096065360132e-11,0.0028510000556707382,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,0.15,-0.15,0.5273717398472826,0.5273717398590065,1.1723955140041653e-11,0.0018924996256828308,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,0.15,0.0,4.405259137267791,4.405259137270398,2.6068036618198676e-12,0.0019047907553613186,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.08333333333333333,0.15,0.15,0.35400356409100464,0.3540035640793289,1.167571594962169e-11,0.002354375086724758,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,1e-06,-0.15,0.48679380733814526,0.4867938073521092,1.3963941114525369e-11,0.001777959056198597,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,1e-06,0.0,4.000202978200337,4.000202978204943,4.605205106145149e-12,0.0021708328276872635,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,1e-06,0.15,0.14517798932837486,0.14517798931752515,1.0849710019300574e-11,0.0015386249870061874,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,0.01,-0.15,0.6182611142203882,0.618261114233583,1.319477860306506e-11,0.0017220829613506794,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,0.01,0.0,4.316327670585114,4.316327670589777,4.6629367034256575e-12,0.0017206668853759766,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,0.01,0.15,0.22753007141773873,0.22753007140722045,1.0518280690874349e-11,0.0016718343831598759,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,0.15,-0.15,2.401980898839142,2.4019808988476434,8.501643833369599e-12,0.0014441669918596745,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,0.15,0.0,7.486075526255396,7.486075526259036,3.639755163931113e-12,0.0014207921922206879,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.25,0.15,0.15,2.0819985172004265,2.0819985171956086,4.817923837663329e-12,0.0014622919261455536,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,1e-06,-0.15,2.270078231093038,2.2700782310990846,6.0467186813184526e-12,0.002011207863688469,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,1e-06,0.0,7.146969619780535,7.146969619780646,1.1102230246251565e-13,0.0016233748756349087,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,1e-06,0.15,1.7311440596986167,1.7311440596889809,9.635847675326659e-12,0.0016675838269293308,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,0.01,-0.15,2.4479547135887003,2.4479547135947968,6.0964566728216596e-12,0.0029692919924855232,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,0.01,0.0,7.405251778082158,7.405251778082732,5.74651437545981e-13,0.003022625111043453,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,0.01,0.15,1.9193379966190975,1.9193379966099808,9.116707389011935e-12,0.0029054167680442333,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,0.15,-0.15,4.647383924401012,4.647383924403204,2.192024339819909e-12,0.0020769168622791767,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,0.15,0.0,10.392444216724876,10.392444216724215,6.608047442568932e-13,0.0016155000776052475,1500.0,2e-10,2e-10,5.0,8192
lhs_00,0.5,0.15,0.15,4.457075455820539,4.457075455813783,6.756373238658853e-12,0.0016119163483381271,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,1e-06,-0.15,0.00022913161549809047,0.00022913168389671057,6.839862010110664e-11,0.0030204588547348976,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,1e-06,0.0,0.8714034624397909,0.8714034624389472,8.43769498715119e-13,0.003075958229601383,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,1e-06,0.15,2.9154729905118535e-06,2.915471152299838e-06,1.838212015414141e-12,0.0023525827564299107,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,0.01,-0.15,0.0034251549125201564,0.003425154928503815,1.5983658840923454e-11,0.001998750027269125,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,0.01,0.0,1.3673158753118118,1.3673158753133154,1.503686064552312e-12,0.0015666671097278595,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,0.01,0.15,0.00015766099630781512,0.0001576609795366215,1.6771193618982452e-11,0.0036469162441790104,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,0.15,-0.15,0.47628088494283816,0.4762808849544822,1.1644019082268642e-11,0.002926624845713377,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,0.15,0.0,4.314302123891011,4.314302123893072,2.0614621121239907e-12,0.0021814582869410515,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.08333333333333333,0.15,0.15,0.37423529855730836,0.37423529854484566,1.2462697540627232e-11,0.001535917166620493,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,1e-06,-0.15,0.12353887623541482,0.12353887625021898,1.4804157899561687e-11,0.0016652918420732021,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,1e-06,0.0,2.465333075988695,2.4653330759913628,2.667643883569326e-12,0.0014985413290560246,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,1e-06,0.15,0.03196088281992299,0.031960882803912544,1.6010442971392536e-11,0.0016332496888935566,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,0.01,-0.15,0.2322744113652675,0.23227441137894012,1.3672618592863728e-11,0.0016885828226804733,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,0.01,0.0,2.960027863730034,2.960027863732545,2.510880392492254e-12,0.0016871658153831959,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,0.01,0.15,0.07958492302636178,0.07958492301042867,1.5933102059939586e-11,0.0015179170295596123,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,0.15,-0.15,2.0959809243265113,2.095980924334171,7.65965069149388e-12,0.0014496669173240662,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,0.15,0.0,7.0539204964564535,7.0539204964582805,1.8269830093231576e-12,0.0015062922611832619,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.25,0.15,0.15,1.89930036889812,1.8993003688902836,7.836398197014205e-12,0.0016189999878406525,1500.0,2e-10,2e-10,5.0,8192
lhs_07,0.5,1e-06,-0.15,0.8570205374347637,0.857020537446342,1.1578293879210833e-11,0.0017748749814927578,1500.0,2e-10,2e-10,5.0,8192
