maturity,effective_width,n_cos,observation_count,invalid_price_count,invalid_iv_count,max_absolute_price_error,p99_absolute_price_error,median_absolute_price_error,max_relative_price_error,p99_relative_price_error,median_relative_price_error,max_absolute_iv_error,p99_absolute_iv_error,median_absolute_iv_error,low_vega_count,max_absolute_iv_error_above_vega_threshold,p99_absolute_iv_error_above_vega_threshold,max_vega_scaled_price_error,p99_vega_scaled_price_error,median_vega_scaled_price_error,runtime_seconds
0.08333333333333333,0.5,64,960,0,0,0.006434744611718557,0.0026206219532756707,1.6790996149040893e-08,2198.607901729938,1.9284678645021966,2.1630050391593582e-07,0.1512986399124919,0.13559027167652263,1.6067304847711128e-08,31,0.14365045697613654,0.12609130806638336,35668.09343178367,423.80160841983894,1.6067302258020186e-08,0.011117540765553713
0.08333333333333333,0.75,64,960,0,0,0.018292847221675013,0.0066115253146689906,9.357393933318026e-08,1412.402032867395,10.096200274706684,1.9155511116173038e-06,0.16033206772827868,0.13678213313363385,1.056343947591909e-07,31,0.16033206772827868,0.135877826908949,10867.579859501773,35.35446950276401,1.0772640427897375e-07,0.009245291817933321
0.08333333333333333,1.0,64,960,0,0,0.04643807541314948,0.009747985399356522,2.9952019799939222e-06,2690.007070724301,69.24847475034254,8.788452643861536e-05,0.14831755881854297,0.11913848880805956,4.332699206327506e-06,31,0.14831755881854297,0.11917010560977227,33.02841056991121,0.4905343499403711,4.357042304530722e-06,0.009638916701078415
0.08333333333333333,1.25,64,960,0,0,0.08325709654475943,0.028781076531630135,7.041380765504535e-05,673412.218449096,17788.3353432106,0.0006405643623351222,0.18513757918783677,0.17299027259697114,5.115494841673174e-05,31,0.18176556948063496,0.16514315124658227,428630.03006801655,86035.96073581204,5.1088434983776195e-05,0.009637124836444855
0.08333333333333333,1.5,64,960,0,0,0.12477940029635715,0.06337983624737852,0.0002590636514744315,1210249.6000561833,51454.6611990632,0.0022589442706279273,0.2149182232297309,0.18912126861865877,0.00014502141489391995,31,0.15046708946926132,0.13336012309433065,1723674.8877104118,533373.3120566596,0.00014503428273986388,0.01707020914182067
0.08333333333333333,2.0,64,960,0,0,0.20796963140784708,0.11574409924922605,0.0006300028660606305,751667.7372201924,719.5355044255077,0.02169230403175345,0.2128636961028781,0.19671100225336616,0.001073565347697869,31,0.2128636961028781,0.19767237371604332,1280.3842299282605,2.347842550475119,0.0010756335361888,0.008789874613285065
0.08333333333333333,2.5,64,960,0,0,0.2676319035439435,0.1606310580729434,0.0031568465254085964,774846.0135395236,781.1090352091458,0.08440850146308024,0.23373393763558137,0.20627104068130947,0.0032389049622798677,31,0.23373393763558137,0.20679315541799237,1319.865902490053,2.6569598624432764,0.002881704250331736,0.0084948749281466
0.08333333333333333,3.0,64,960,0,0,0.2894910264284256,0.2589848266796566,0.0168018260874922,4540608.379733224,112753.02583017614,0.18719129096472667,0.2446767745181433,0.21523578402330446,0.009722904581180108,31,0.2446767745181433,0.21554930106399772,7576.012488464541,316.72883065779496,0.005418356446725567,0.008597665932029486
0.08333333333333333,3.5,64,960,0,0,0.7417684457419504,0.6827293940454204,0.06529553434518881,14713297.636062108,358256.3967548584,0.7318919944348031,0.3429934576694869,0.3105470173925448,0.035298842037562464,31,0.3429934576694869,0.3106894346933151,24549.161106876047,885.101190455285,0.01249816639726283,0.008533416781574488
0.08333333333333333,4.0,64,960,0,0,1.297303081811144,1.223834688092725,0.2833881147541186,33575022.6765927,4490904.473486324,1.0,0.43334120388447067,0.40031484131185013,0.09857329610844183,31,0.43334120388447067,0.4008522607646551,38851460.595430344,33878434.20887521,0.04849394793109378,0.00864558294415474
