sample_id,scenario,quantity,path_average_truth,path_average_estimate,mean_error,mae,rmse,correlation
0,clean,erp,0.10743111178,0.173194210483,0.0657630987039,0.0657630987039,0.0713167395666,0.999977641684
0,clean,vrp,-0.00421887065393,-0.0044642201968,-0.000245349542866,0.000245349542866,0.000246241997278,0.999977641684
0,low_iid,erp,0.10743111178,0.159610947606,0.0521798358262,0.0550663464663,0.0696121291182,0.990178793668
0,low_iid,vrp,-0.00421887065393,-0.00352200004691,0.000696870607016,0.000696870607016,0.000770711423989,0.990178793668
0,spatial_corr,erp,0.10743111178,0.158796269991,0.0513651582113,0.0548030182818,0.0696100826682,0.98992297797
0,spatial_corr,vrp,-0.00421887065393,-0.00349875198544,0.000720118668493,0.000720119734017,0.000795689789837,0.98992297797
0,persistent_factor,erp,0.10743111178,0.159610874095,0.0521797623154,0.055158949824,0.0699372635698,0.990402014215
0,persistent_factor,vrp,-0.00421887065393,-0.0036042073009,0.000614663353027,0.000614988217238,0.000706840780422,0.990402014215
1,clean,erp,0.110937521736,0.0789088193496,-0.0320287023867,0.0320287023867,0.034785401096,0.999975229392
1,clean,vrp,-0.00437016461351,-0.00564921662159,-0.00127905200808,0.00127905200808,0.00148792582634,0.999975229392
1,low_iid,erp,0.110937521736,0.0743419070727,-0.0365956146636,0.0365956146636,0.0374954927318,0.988966496482
1,low_iid,vrp,-0.00437016461351,-0.00407754589546,0.000292618718045,0.000617316269275,0.000779963010367,0.988966496482
1,spatial_corr,erp,0.110937521736,0.076085256086,-0.0348522656503,0.0348522656503,0.0358485615499,0.986002975974
1,spatial_corr,vrp,-0.00437016461351,-0.0046695304539,-0.000299365840399,0.00090465198047,0.00126707715034,0.986002975974
1,persistent_factor,erp,0.110937521736,0.0751404834763,-0.03579703826,0.03579703826,0.0367333912894,0.989059211865
1,persistent_factor,vrp,-0.00437016461351,-0.0041034868416,0.000266677771905,0.000568724279511,0.000738486905026,0.989059211865
2,clean,erp,0.10759850338,0.132871042197,0.0252725388168,0.0252725388168,0.0295941845374,0.999908639009
2,clean,vrp,-0.00422609323726,-0.00534578144088,-0.00111968820361,0.00111968820361,0.00137829508737,0.999908639009
2,low_iid,erp,0.10759850338,0.147274813791,0.0396763104105,0.0423873446567,0.0547287170831,0.993012732204
2,low_iid,vrp,-0.00422609323726,-0.00462299471449,-0.000396901477226,0.000633287902377,0.000976188547141,0.993012732204
2,spatial_corr,erp,0.10759850338,0.134337636949,0.0267391335684,0.0294253378377,0.0396119244053,0.993231424636
2,spatial_corr,vrp,-0.00422609323726,-0.00540429299372,-0.00117819975645,0.00133935276596,0.00184814446134,0.993231424636
2,persistent_factor,erp,0.10759850338,0.135064085007,0.0274655816267,0.0310366870858,0.0417237402002,0.993139181584
2,persistent_factor,vrp,-0.00422609323726,-0.00455731207203,-0.000331218834771,0.000591845495781,0.000949781784666,0.993139181584
3,clean,erp,0.0907898608755,0.147945947883,0.0571560870072,0.0571560870072,0.0595761697137,0.999688706
3,clean,vrp,-0.00350083688931,-0.0036579669518,-0.000157130062492,0.000228935877112,0.000272401223806,0.999688706
3,low_iid,erp,0.0907898608755,0.137917344641,0.0471274837651,0.0481197487579,0.0591071321787,0.987595898591
3,low_iid,vrp,-0.00350083688931,-0.00340963546289,9.1201426419e-05,0.000336027618834,0.000419862154829,0.987595898591
3,spatial_corr,erp,0.0907898608755,0.132005335838,0.0412154749626,0.0418456200182,0.0531148867213,0.987151602941
3,spatial_corr,vrp,-0.00350083688931,-0.00276025063328,0.000740586256031,0.000740586256031,0.000798827135098,0.987151602941
3,persistent_factor,erp,0.0907898608755,0.109305918652,0.0185160577767,0.0267370314828,0.0330999851538,0.983198159836
3,persistent_factor,vrp,-0.00350083688931,-0.00402670874605,-0.000525871856741,0.000982246567042,0.00120332093618,0.983198159836
4,clean,erp,0.109841905446,0.160697371351,0.0508554659046,0.0508554659046,0.0556186381433,0.999994412276
4,clean,vrp,-0.00432289115469,-0.00321636379321,0.00110652736148,0.00110837274214,0.00149612912071,0.999994412276
