sample_id,scenario,mean_error,mae,rmse,median_absolute_error,q95_absolute_error,correlation
0,clean,0.00043375673479,0.000814583248874,0.000932505119504,0.000847997546619,0.00143774074256,0.999977641684
0,low_iid,-0.00146915073636,0.00236636970131,0.00297708146626,0.00203377150098,0.00579055965622,0.990178793668
0,spatial_corr,-0.00157935719244,0.00249989100831,0.00312930788946,0.00202525837129,0.00611969563195,0.98992297797
0,persistent_factor,-0.00134677944572,0.00237855896738,0.00298548563077,0.00200652540397,0.00578597735289,0.990402014215
1,clean,-0.00298006751332,0.00298006751332,0.00305089957799,0.00290635622645,0.0041610277713,0.999975229392
1,low_iid,-0.00494624010058,0.00494835340879,0.00549527812643,0.0048942848133,0.00853394525088,0.988966496482
1,spatial_corr,-0.00556009855251,0.00559569610135,0.00627570152444,0.00551030495571,0.0109137165958,0.986002975974
1,persistent_factor,-0.00461702493597,0.00461856138091,0.00515695212604,0.00460006013817,0.00799666227353,0.989059211865
2,clean,-0.00335021573137,0.00335021573137,0.00347660123911,0.0032907870655,0.00509338844452,0.999908639009
2,low_iid,-0.00285726670767,0.00306256392136,0.00360819481587,0.00302813695748,0.00636867050769,0.993012732204
2,spatial_corr,-0.00254418096258,0.00343159459996,0.00375341231839,0.00324836481519,0.00642405537813,0.993231424636
2,persistent_factor,-0.00298383614111,0.00324183267068,0.00375866784849,0.00326470492431,0.00647485457207,0.993139181584
3,clean,0.00277731153615,0.00277731153615,0.00291202263489,0.00288215614926,0.00361563567268,0.999688706
3,low_iid,-0.000138624978684,0.0019067910889,0.00228388032176,0.00179088773901,0.0043802924648,0.987595898591
3,spatial_corr,-0.000914748276404,0.00183235355312,0.00213786432326,0.00181927353594,0.00365359841156,0.987151602941
3,persistent_factor,-0.00342192427223,0.00354845159809,0.00413059318247,0.00314659878052,0.00756903337074,0.983198159836
4,clean,0.00300747461113,0.00303483218703,0.00322709896546,0.00339771444548,0.00416172526902,0.999994412276
4,low_iid,0.00224086197974,0.00248844524348,0.0029192870115,0.00235809649997,0.00511083957559,0.995351859929
4,spatial_corr,0.00229471926077,0.00254155345194,0.00297761653034,0.00221513583167,0.00520468333321,0.995233080502
4,persistent_factor,0.00250594392737,0.00269896875102,0.00314539559386,0.00251381716513,0.00534260778372,0.995128803969
5,clean,-0.00106513976859,0.00107626073062,0.00149016580113,0.000773484135143,0.00339514158087,0.999996967916
5,low_iid,-0.00378767804753,0.00384697581662,0.00472590013309,0.00370279112786,0.0092725393244,0.993969226562
5,spatial_corr,-0.00280788162146,0.0033391650779,0.00410688630776,0.00269616417317,0.0082771619605,0.993778502109
5,persistent_factor,-0.00413605768855,0.00415430345287,0.00495969352933,0.0041794065899,0.00934295792414,0.994164985842
6,clean,4.39421201795e-05,0.000944562013408,0.00128455429109,0.000713724405944,0.00262156438578,0.998975822445
6,low_iid,-0.00289962949196,0.0033301198497,0.00395349340406,0.00257970974848,0.00715469652299,0.989651123338
6,spatial_corr,-0.00273369069826,0.00312511122172,0.00374601053499,0.00265167030848,0.00697403914081,0.989539450518
6,persistent_factor,-0.00284970799212,0.00327232514918,0.00386330041256,0.00269898319252,0.00687069756094,0.989708145973
7,clean,-0.00116005196143,0.00116068976072,0.00143553584013,0.000927084131248,0.00287101761495,0.999999972747
